step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
0,meta_rl,-0.1566688,-0.09390795,-0.19205129,0.954299
1,meta_rl,-0.38023838,-0.063765705,-0.413341,0.31196213
2,meta_rl,-0.2633937,0.12619674,-0.3208002,0.91678286
3,meta_rl,-0.8948433,-0.18276381,-0.97224194,0.92198455
4,meta_rl,-0.7836499,0.11579299,-0.8935078,0.99785995
5,meta_rl,-0.45682517,-0.10050058,-0.5133337,0.97389126
6,meta_rl,-0.87193877,-0.46032345,-0.9464148,-0.37409747
7,meta_rl,-0.84819937,-0.055218697,-0.93505955,0.20710075
8,meta_rl,0.8533159,-0.6254736,0.9590883,0.64872336
9,meta_rl,-0.11531123,-0.05718714,0.5282266,-0.9557855
10,meta_rl,-0.84127694,-0.67710674,0.8729211,-0.9817744
11,meta_rl,-0.6461451,-0.7250253,0.9907634,-0.6628043
12,meta_rl,0.7128663,-0.73566943,0.933619,0.6365988
13,meta_rl,0.49283952,-0.059414685,0.5271666,0.59251654
14,meta_rl,0.68531966,0.22992301,0.69974744,0.97786546
15,meta_rl,0.3931925,0.16329217,0.40117502,0.6011267
16,meta_rl,-0.2935318,0.3175124,-0.3547486,-0.17074174
17,meta_rl,0.9179791,0.3748486,0.9618504,0.27464128
18,meta_rl,0.6103596,0.20233536,0.6406344,0.726874
19,meta_rl,0.38994125,0.25198376,0.38637006,0.6060536
20,meta_rl,-0.1161215,0.2444328,0.33879924,-0.8322505
21,meta_rl,-0.63208145,-0.31121325,0.46439874,-0.81210095
22,meta_rl,-0.73056376,-0.8402369,0.87231016,-0.732532
23,meta_rl,0.44580814,-0.7422035,0.99591815,0.36772513
24,meta_rl,0.9704171,0.39249754,0.99755704,0.9925841
25,meta_rl,0.94694984,0.48947096,0.98663306,0.9293611
26,meta_rl,0.9255174,0.5002091,0.9633329,0.9033203
27,meta_rl,0.9569161,0.6469364,0.984143,0.9911256
28,meta_rl,0.79775465,0.75340676,0.74278545,0.99576926
29,meta_rl,0.9742889,0.9491255,0.975255,0.9899988
30,meta_rl,0.88774526,0.97296715,0.885056,0.8348365
31,meta_rl,-0.24780227,-0.44060713,-0.23169863,-0.36573243
32,meta_rl,0.33551577,-0.48555827,0.43745863,0.08941555
33,meta_rl,-0.67816764,-0.72525805,-0.6947989,0.115603805
34,meta_rl,-0.6061058,0.34513187,-0.8021345,-0.42057723
35,meta_rl,-0.856138,0.16342413,-0.92646927,-0.21976477
36,meta_rl,-0.2944318,0.91728115,-0.68555284,-0.13121212
37,meta_rl,-0.10582467,0.6980941,-0.15614724,0.032857776
38,meta_rl,0.721166,0.73666143,0.722172,0.68463755
39,meta_rl,0.69569355,0.30457175,0.7084565,0.97398674
40,meta_rl,0.7329731,0.48245525,0.7429582,0.8834547
41,meta_rl,0.3235461,-0.30399996,0.340899,0.8066726
42,meta_rl,-0.6327831,-0.84887236,-0.6599441,0.96514595
43,meta_rl,-0.80113393,-0.79855794,-0.83788645,0.38126385
44,meta_rl,0.34839332,0.15053797,0.7573633,-0.089285254
45,meta_rl,0.793635,0.37861037,0.8340423,0.28516066
46,meta_rl,0.9140587,0.49649394,0.9548485,0.77244806
47,meta_rl,0.93197626,0.59615886,0.9840182,0.73273194
48,meta_rl,0.9314793,0.5467782,0.9799509,0.78129673
49,meta_rl,0.53840303,0.39783692,0.5857172,0.36664224
50,meta_rl,0.30402318,0.5584388,0.22179937,0.37612665
51,meta_rl,0.5748492,0.51887596,0.5644374,0.8157942
52,meta_rl,0.5965959,0.47347724,0.5964272,0.7335141
53,meta_rl,0.55697507,0.48125505,0.5272279,0.9030709
54,meta_rl,0.8506473,-0.20804179,0.89333355,0.99800014
55,meta_rl,0.5907732,-0.24240863,0.62077546,0.9979913
56,meta_rl,0.25521556,-0.1925515,0.25455105,0.9959736
57,meta_rl,-0.7989829,-0.5778014,-0.8458844,0.88174355
58,meta_rl,0.7731181,0.20612025,0.78351736,0.99547076
59,meta_rl,0.9660432,0.8944763,0.97142935,0.9817426
60,meta_rl,0.7682239,0.6936128,0.764122,0.85318923
61,meta_rl,-0.406191,-0.068790615,-0.5449675,0.7164831
62,meta_rl,-0.9160977,-0.08084071,-0.9951006,-0.48021692
63,meta_rl,-0.7073041,0.22430468,-0.8020963,0.9449936
64,meta_rl,-0.93061656,-0.3145604,-0.8954094,-0.973515
65,meta_rl,-0.7582695,-0.3367502,0.7000922,-0.94980663
66,meta_rl,-0.8810928,-0.3471279,-0.76032436,-0.9954568
67,meta_rl,-0.94386005,-0.5214104,-0.9187116,-0.98452514
68,meta_rl,-0.915625,-0.03888303,-0.9750762,-0.92438644
69,meta_rl,-0.88806605,-0.05510652,-0.97432995,-0.8920983
70,meta_rl,-0.456521,0.49892306,-0.45955634,-0.5864573
71,meta_rl,0.6285266,0.56693244,0.63558006,0.48298526
72,meta_rl,0.6609352,0.08253276,0.7064345,0.3053602
73,meta_rl,0.7306085,-0.008477807,0.83728266,-0.30885792
74,meta_rl,0.7771679,0.8826393,0.7462983,0.8914089
75,meta_rl,0.8598428,0.937477,0.8375275,0.9409187
76,meta_rl,0.9712239,0.86527395,0.98958063,0.90858746
77,meta_rl,0.9266673,-0.09060538,0.9779315,0.90999246
78,meta_rl,0.9381312,0.15502012,0.9833782,0.8787105
79,meta_rl,0.84788996,-0.4383124,0.9036149,0.9537468
80,meta_rl,-0.3294154,-0.8448559,-0.3272786,0.45761275
81,meta_rl,-0.40425545,-0.9290585,-0.3935902,0.121441126
82,meta_rl,0.85095423,0.29808044,0.864095,0.9937446
83,meta_rl,0.5531537,0.50416756,-0.035758197,0.9880481
84,meta_rl,0.4661255,0.62790585,0.35403907,0.8849331
85,meta_rl,0.5824846,0.58421373,0.5575981,0.91565895
86,meta_rl,0.13183276,0.26381922,0.06007135,0.4646268
87,meta_rl,-0.4001822,0.08328009,-0.40894735,-0.4463035
88,meta_rl,-0.49944422,0.02357483,-0.7013748,-0.54062915
89,meta_rl,-0.26062378,-0.31981933,0.6172426,-0.25245762
90,meta_rl,-0.08344795,0.17636943,-0.6971738,0.014753342
91,meta_rl,0.14224158,0.20767486,0.4027946,0.04866886
92,meta_rl,0.2810716,0.30439997,0.52869165,0.19866121
93,meta_rl,0.21134542,0.224486,0.50310683,0.13238943
94,meta_rl,0.73793316,0.26275015,0.8618612,0.8366976
95,meta_rl,0.84260285,0.30209053,0.90038097,0.95876
96,meta_rl,0.86652964,0.44538057,0.9592309,0.9389092
97,meta_rl,0.8736438,0.54556227,0.8075123,0.9811473
98,meta_rl,0.8493916,0.8723366,0.8825662,0.83263683
99,meta_rl,0.8549518,0.64513505,0.9245554,0.88162875
100,meta_rl,0.963216,0.99309826,0.97421193,0.955521
101,meta_rl,0.7377948,0.76832724,0.8351847,0.6920823
102,meta_rl,-0.8555469,-0.4955492,-0.3118171,-0.97258675
103,meta_rl,0.1952912,0.057783127,0.041542053,0.32217467
104,meta_rl,-0.86073405,-0.8903544,0.038033843,-0.87222236
105,meta_rl,-0.5526243,-0.9385871,-0.3185444,-0.30589628
106,meta_rl,0.37094492,0.95366716,0.056413412,0.35593092
107,meta_rl,0.44717082,0.35077488,0.48313522,0.46135843
108,meta_rl,0.64935786,-0.1046139,0.8351606,0.71595156
109,meta_rl,0.68174785,0.25081706,-0.47193998,0.86332464
110,meta_rl,0.67997825,0.67046547,0.38460827,0.93554807
111,meta_rl,0.42852232,0.34022057,-0.23571384,0.82828116
112,meta_rl,-0.38166907,-0.10521114,-0.43751508,0.38383198
113,meta_rl,-0.22549108,0.3898617,-0.33017278,0.95038795
114,meta_rl,-0.5746376,0.20965064,-0.6696165,0.79810417
115,meta_rl,-0.5780962,0.6107614,-0.82977015,0.8756584
116,meta_rl,-0.5893391,0.738039,-0.89908004,0.5995177
117,meta_rl,-0.7178373,0.6052393,-0.919395,0.71712804
118,meta_rl,-0.67610455,0.5543232,-0.8339916,0.5437839
119,meta_rl,-0.6723167,0.2835045,-0.75877476,0.2580347
120,meta_rl,-0.61170137,0.63936126,-0.80047786,0.8040998
121,meta_rl,-0.43904608,0.7374259,-0.6560122,0.9620433
122,meta_rl,0.07528656,0.52344036,0.045556307,0.21107495
123,meta_rl,0.076928295,0.6550889,0.039280653,0.09845984
124,meta_rl,-0.7454481,-0.26221716,-0.7773607,-0.2975912
125,meta_rl,-0.07545339,0.45216358,-0.12442154,0.228688
126,meta_rl,-3.0582123e-05,0.34601343,-0.01703763,-0.0058808327
127,meta_rl,-0.49058938,0.15069818,-0.52184165,-0.5028554
128,meta_rl,-0.29905432,0.06807709,-0.34463334,0.830621
129,meta_rl,-0.550352,0.18039012,-0.6267322,0.7850785
130,meta_rl,-0.9218973,-0.17733014,-0.98212665,0.4004097
131,meta_rl,-0.6370842,0.08750391,-0.7043134,0.49751687
132,meta_rl,-0.7597299,0.34607267,-0.89804566,0.8925679
133,meta_rl,-0.60068077,0.6728773,-0.89740884,0.98471105
134,meta_rl,-0.0508325,0.5033821,-0.121604085,0.99146426
135,meta_rl,-0.33688372,0.58096457,-0.7905753,0.9314941
136,meta_rl,-0.40961617,0.5207579,-0.54202014,0.9406434
137,meta_rl,-0.2986004,0.50274014,-0.4023804,0.7566271
138,meta_rl,0.21126433,0.4773711,0.1737417,0.74532413
139,meta_rl,0.86878985,0.7575376,0.87541866,0.83560634
140,meta_rl,0.6875997,0.89356613,0.42154193,0.789979
141,meta_rl,0.72249794,0.7759509,0.7206497,0.67283034
142,meta_rl,0.7868443,0.6099708,0.8057482,0.7313955
143,meta_rl,-0.4572302,0.32798505,-0.6588549,0.17193842
144,meta_rl,-0.89743143,-0.30239958,-0.948082,0.19502473
145,meta_rl,-0.91637135,-0.8372565,-0.977635,0.05461812
146,meta_rl,-0.89186126,-0.95520294,-0.6824801,-0.89641607
147,meta_rl,-0.9697154,-0.9647047,-0.8711676,-0.99411666
148,meta_rl,-0.9477308,-0.8983087,-0.76596826,-0.9780536
149,meta_rl,-0.966802,-0.94481725,-0.78716177,-0.996824
150,meta_rl,-0.8249813,-0.89288294,-0.9335581,-0.7643208
151,meta_rl,-0.9581916,-0.92754763,-0.8624694,-0.9798619
152,meta_rl,-0.49554303,-0.6980206,-0.5625966,-0.23128897
153,meta_rl,-0.8903895,-0.3957669,-0.56799644,-0.97779363
154,meta_rl,0.86502814,0.9771297,0.8390125,0.9719124
155,meta_rl,0.97165614,0.92337465,0.90171707,0.98951674
156,meta_rl,0.9542132,0.92246103,0.9181428,0.97386265
157,meta_rl,0.9668046,0.91452074,0.9634055,0.97911215
158,meta_rl,0.9531946,0.8997797,0.94771934,0.96609855
159,meta_rl,0.8691368,0.67862177,0.9618305,0.872622
160,meta_rl,0.75392777,0.78348815,0.90288067,0.6969328
161,meta_rl,0.79704404,0.7924936,0.81686616,0.7909361
162,meta_rl,0.8043875,0.8071399,0.8654754,0.7804884
163,meta_rl,0.81953233,0.790321,0.8689797,0.8085315
164,meta_rl,0.27594042,0.6241245,0.6877892,-0.046581507
165,meta_rl,0.72835314,0.7223878,0.5225209,0.82880294
166,meta_rl,0.94588685,0.9582174,0.8745743,0.9668274
167,meta_rl,0.9641568,0.9744921,0.926249,0.97213256
168,meta_rl,0.9391861,0.980423,0.9918463,0.90834093
169,meta_rl,0.90980643,0.937238,0.98890185,0.8714186
170,meta_rl,0.9342497,0.9699292,0.98798966,0.9023359
171,meta_rl,0.9011182,0.9223193,0.9913876,0.85464025
172,meta_rl,0.9377744,0.96488595,0.9787142,0.91633654
173,meta_rl,0.8733829,0.9387121,0.965124,0.81659317
174,meta_rl,-0.72267056,-0.5256416,-0.82239574,0.6842108
175,meta_rl,0.3129193,0.0056414604,0.31158412,0.72692347
176,meta_rl,0.74373776,0.09954035,0.76613295,0.9425287
177,meta_rl,-0.17096211,0.07268548,-0.4586116,0.91632247
178,meta_rl,0.4313161,-0.10739517,0.45096266,0.56632733
179,meta_rl,-0.6406959,-0.1146251,-0.75171953,0.8907672
180,meta_rl,-0.90177715,-0.5028718,-0.9568197,0.8249593
181,meta_rl,-0.93505836,-0.6323117,-0.9934312,0.29916048
182,meta_rl,-0.9242868,-0.39000738,-0.9888915,0.86724555
183,meta_rl,-0.3704572,-0.9749262,-0.9880219,0.8289381
184,meta_rl,-0.75663805,-0.48057246,-0.9646184,0.74794436
185,meta_rl,0.06517095,-0.7052721,-0.05153346,0.8233199
186,meta_rl,0.7823914,0.45503962,0.7914882,0.9351685
