step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
0,equal_weight,-0.11473725,-0.0730539,0.44598126,-0.7171391
1,equal_weight,-0.19641374,0.010243416,-0.030547082,-0.56893754
2,equal_weight,-0.27905795,-0.31257206,0.2744336,-0.79903543
3,equal_weight,-0.18933952,-0.41202533,0.44394028,-0.5999335
4,equal_weight,-0.2748895,-0.23239762,0.31662703,-0.9088979
5,equal_weight,-0.36115643,0.02579689,-0.11801332,-0.9912529
6,equal_weight,-0.47887748,-0.46358073,0.008949399,-0.9820011
7,equal_weight,-0.39116472,-0.7044647,0.52773976,-0.99676925
8,equal_weight,-0.6091583,-0.7087398,-0.13821507,-0.98052
9,equal_weight,-0.8252079,-0.8743963,-0.661418,-0.9398093
10,equal_weight,-0.42287773,-0.3534097,-0.45047712,-0.46474636
11,equal_weight,-0.11330404,0.21249866,-0.5119448,-0.04046601
12,equal_weight,-0.3912195,-0.9282941,-0.20264429,-0.04272008
13,equal_weight,-0.3350664,0.40900922,-0.4475212,-0.9666872
14,equal_weight,0.06647316,0.6768186,0.063123226,-0.54052234
15,equal_weight,-0.09443045,0.41150677,0.012916088,-0.7077142
16,equal_weight,-0.55432045,-0.934963,-0.6969329,-0.031065524
17,equal_weight,-0.53239405,-0.9973938,-0.50473434,-0.09505409
18,equal_weight,-0.5676493,-0.989497,0.117956996,-0.83140785
19,equal_weight,-0.640527,-0.98342067,-0.06351352,-0.87464684
20,equal_weight,-0.04317488,-0.041482747,0.54438305,-0.63242495
21,equal_weight,-0.20836662,-0.7007842,0.5547359,-0.47905153
22,equal_weight,-0.2421823,-0.610729,0.32901073,-0.44482863
23,equal_weight,-0.07844138,-0.36080533,0.20368886,-0.07820767
24,equal_weight,0.53055704,0.739475,0.5515305,0.30066562
25,equal_weight,-0.17669494,-0.17070389,0.013530016,-0.37291098
26,equal_weight,0.16568673,0.44149947,0.20398569,-0.14842498
27,equal_weight,0.18848242,0.80949306,0.1283642,-0.37241
28,equal_weight,0.25131246,0.8809242,0.13805175,-0.2650386
29,equal_weight,0.055914897,0.9034296,-0.20176286,-0.5339221
30,equal_weight,0.39103308,0.87647843,0.25881255,0.0378083
31,equal_weight,0.36947414,0.94357395,0.23978925,-0.0749408
32,equal_weight,0.41341588,0.94097686,0.25368452,0.04558623
33,equal_weight,0.47367218,0.9602047,0.2799089,0.18090296
34,equal_weight,0.5008281,0.9893197,0.205814,0.30735064
35,equal_weight,0.6338111,0.9983599,0.27988005,0.6231934
36,equal_weight,0.34104875,0.9668844,0.18053222,-0.12427038
37,equal_weight,0.48106584,0.874542,0.39787757,0.17077792
38,equal_weight,0.064510345,0.14676237,0.20643282,-0.15966415
39,equal_weight,0.4299214,0.66047215,0.24051356,0.38877845
40,equal_weight,0.38658345,0.5143182,0.4385661,0.20686603
41,equal_weight,0.8152006,0.8403971,0.6340984,0.9711063
42,equal_weight,0.67834747,0.75207114,0.317495,0.9654763
43,equal_weight,0.54294217,0.51577115,0.17240465,0.9406507
44,equal_weight,-0.17621969,-0.09903675,-0.252712,-0.17691028
45,equal_weight,-0.19528945,-0.92972857,-0.04057926,0.38443947
46,equal_weight,-0.25957894,-0.9223645,-0.26752794,0.41115558
47,equal_weight,0.6031352,0.4296986,0.56566,0.8140471
48,equal_weight,0.43114027,0.6385255,-0.099538326,0.75443363
49,equal_weight,-0.0840809,-0.2912681,-0.49818194,0.53720737
50,equal_weight,0.19130564,-0.19629967,0.41448677,0.35572982
51,equal_weight,-0.11619798,-0.9877173,0.28251958,0.35660374
52,equal_weight,-0.09578522,-0.8744823,0.28263664,0.30448997
53,equal_weight,-0.19720091,-0.78326786,-0.085769,0.2774341
54,equal_weight,-0.6163146,-0.95016897,-0.71031445,-0.18846041
55,equal_weight,-0.38840553,-0.82454073,-0.2629302,-0.077745676
56,equal_weight,-0.062776625,-0.6179456,0.23221421,0.19740152
57,equal_weight,0.073131084,-0.3856249,0.61338854,-0.0083703995
58,equal_weight,0.01981759,-0.58639157,0.45289183,0.19295251
59,equal_weight,0.51599234,0.5122967,0.8379178,0.19776261
60,equal_weight,0.47765616,0.50735414,0.8161602,0.109454155
61,equal_weight,0.565339,0.5622804,0.5232762,0.6104604
62,equal_weight,0.52978086,0.6350117,0.8138275,0.1405034
63,equal_weight,0.53462934,0.6758981,0.59938836,0.3286016
64,equal_weight,0.5146339,0.7408049,0.21213722,0.59095955
65,equal_weight,0.40647838,0.54257846,-0.1344164,0.8112731
66,equal_weight,0.4655521,0.22158372,0.41118145,0.7638911
67,equal_weight,0.55322826,0.32525575,0.51118016,0.82324886
68,equal_weight,0.4242965,0.0058881044,0.44398284,0.82301855
69,equal_weight,0.07385262,-0.8303443,0.50017977,0.5517224
70,equal_weight,-0.22992565,-0.8050317,0.44733453,-0.33207977
71,equal_weight,0.027410468,-0.4590199,0.5061159,0.03513539
72,equal_weight,0.23534004,0.06485832,0.33192825,0.30923355
73,equal_weight,0.1762662,0.5906465,0.31614864,-0.37799656
74,equal_weight,-0.020225802,0.4593947,0.09769952,-0.6177716
75,equal_weight,0.08752368,0.054866314,0.24388301,-0.03617829
76,equal_weight,0.54892546,0.6603737,0.802866,0.18353677
77,equal_weight,0.46745446,0.5730674,0.71341157,0.11588442
78,equal_weight,0.25037292,0.20338738,0.6934025,-0.14567119
79,equal_weight,0.5991849,0.7859814,0.7011777,0.31039548
80,equal_weight,0.034397483,0.42591453,0.51309156,-0.83581364
81,equal_weight,0.36795828,0.814481,0.8311641,-0.5417703
82,equal_weight,0.26966023,0.4842552,0.79206836,-0.46734285
83,equal_weight,0.4037958,0.52083457,0.478212,0.21234083
84,equal_weight,0.2377252,0.22024918,0.57538676,-0.082460344
85,equal_weight,0.09517696,-0.07555419,0.17603552,0.18504953
86,equal_weight,0.18612017,0.7907593,-0.06648606,-0.16591275
87,equal_weight,0.13290481,0.29344273,0.283666,-0.17839432
88,equal_weight,-0.017444769,0.20375407,0.065398574,-0.32148695
89,equal_weight,-0.009531776,0.34306717,-0.15596277,-0.21569973
90,equal_weight,-0.027188659,0.09820044,0.25779712,-0.43756354
91,equal_weight,0.17503035,0.3770311,0.21649325,-0.068433285
92,equal_weight,0.30241656,0.53204656,0.32791293,0.047290206
93,equal_weight,0.5031372,0.37734377,0.72853804,0.40352964
94,equal_weight,0.7814124,0.64110756,0.9653046,0.73782516
95,equal_weight,0.5266971,-0.29295576,0.9886528,0.88439417
96,equal_weight,0.5184018,0.029040337,0.94787765,0.57828736
97,equal_weight,0.5858142,0.455958,0.8281369,0.47334766
98,equal_weight,0.5309836,0.65154505,0.71288586,0.22851992
99,equal_weight,-0.2810214,-0.15784144,0.1827575,-0.8679802
100,equal_weight,-0.61543775,-0.7811581,-0.09139407,-0.9737611
101,equal_weight,-0.20357615,-0.07181543,0.18550217,-0.7244152
102,equal_weight,-0.18208516,-0.3333664,0.1042074,-0.31709647
103,equal_weight,-0.5251814,-0.9189122,-0.8945461,0.23791409
104,equal_weight,-0.42574832,-0.93199575,-0.7502916,0.4050424
105,equal_weight,-0.38175735,-0.90346676,-0.728378,0.48657274
106,equal_weight,-0.48797783,-0.98908305,-0.82005227,0.34520185
107,equal_weight,-0.4379603,-0.99150205,-0.72250676,0.4001279
108,equal_weight,-0.33810642,-0.83293784,-0.53068566,0.3493042
109,equal_weight,-0.38103336,-0.6832022,-0.6226587,0.16276085
110,equal_weight,-0.65116805,-0.8703534,-0.7589385,-0.3242122
111,equal_weight,-0.4083962,-0.8261302,-0.4894613,0.09040284
112,equal_weight,-0.523479,-0.8871848,-0.43024147,-0.2530107
113,equal_weight,-0.15078907,-0.3665483,-0.3333708,0.24755192
114,equal_weight,-0.3001482,-0.9039878,0.010706186,-0.0071629286
115,equal_weight,-0.2981755,-0.9312683,0.28675056,-0.25000882
116,equal_weight,-0.28030726,-0.93054897,0.4612155,-0.37158835
117,equal_weight,-0.23667572,-0.6725898,0.62233615,-0.6597735
118,equal_weight,-0.4378571,-0.94828945,0.081570625,-0.44685245
119,equal_weight,-0.34599105,-0.83488965,0.33210564,-0.5351891
120,equal_weight,-0.1059104,-0.68466216,0.762637,-0.39570606
121,equal_weight,-0.058436096,-0.31518626,0.7215636,-0.5816856
122,equal_weight,0.43055865,0.69493234,0.9022794,-0.3055358
123,equal_weight,-0.62176967,-0.9649992,-0.17044127,-0.7298686
124,equal_weight,0.025506655,0.51818275,0.5282842,-0.969947
125,equal_weight,-0.62692994,-0.7010742,-0.6255767,-0.554139
126,equal_weight,-0.2094457,0.044561982,-0.27124882,-0.40165025
127,equal_weight,0.44165456,0.60687923,0.5001278,0.21795666
128,equal_weight,0.48571083,0.8111198,0.48605347,0.1599592
129,equal_weight,0.4713416,0.25972295,0.5675814,0.58672047
130,equal_weight,0.29729664,-0.22857451,0.6405823,0.47988212
131,equal_weight,0.20976269,-0.5290743,0.86816263,0.29019976
132,equal_weight,0.038739543,-0.8932578,0.7443762,0.26510024
133,equal_weight,-0.15321009,-0.73468304,0.1366899,0.13836288
134,equal_weight,-0.16648048,0.94505215,-0.8559866,-0.588507
135,equal_weight,-0.23439448,0.94823754,-0.95439655,-0.6970244
136,equal_weight,0.23067081,0.80640626,0.006362796,-0.120756626
137,equal_weight,0.066058956,0.5583632,-0.0340122,-0.32617414
138,equal_weight,-0.039745707,-0.11185247,0.7709186,-0.77830327
139,equal_weight,0.3618836,0.4675523,0.8195641,-0.20146555
140,equal_weight,0.402194,0.6232755,0.4918456,0.091460824
141,equal_weight,-0.07878999,0.3686769,-0.82666075,0.22161388
142,equal_weight,0.6417864,0.9765222,0.6473564,0.30148053
143,equal_weight,0.55079436,0.90540767,0.19842839,0.548547
144,equal_weight,0.53741944,0.836313,0.17527044,0.60067487
145,equal_weight,0.500341,0.9227865,0.10059619,0.47764027
146,equal_weight,0.7240823,0.96589386,0.27810812,0.9282448
147,equal_weight,0.825238,0.7287514,0.77421904,0.9727435
148,equal_weight,0.6734364,0.80683374,0.25346303,0.96001244
149,equal_weight,0.5895386,0.8152447,0.11684632,0.8365247
150,equal_weight,0.40876335,0.76813734,-0.05479151,0.5129442
151,equal_weight,0.46585494,0.7534678,-0.039442122,0.68353915
152,equal_weight,0.33778512,0.57003665,-0.16788328,0.611202
153,equal_weight,0.55311394,0.45098674,0.44892132,0.75943375
154,equal_weight,0.6034274,0.2740252,0.66313314,0.8731239
155,equal_weight,0.3528409,0.34196436,0.24097931,0.47557902
156,equal_weight,0.90610546,0.8143487,0.966347,0.93762064
157,equal_weight,0.51553607,0.0033379793,0.92240024,0.62087
158,equal_weight,0.6944315,0.5474144,0.87338686,0.6624931
159,equal_weight,0.5317837,0.26808643,0.8672923,0.45997238
