step,meta_rl,equal_weight,vol_regime,hmm,buy_and_hold
0,1.0,1.0,1.0,1.0,1.0
1,0.99994737,0.9999661,0.99988663,0.99994326,0.99395794
2,1.0005744,1.0003486,1.0012083,1.0006113,0.9839946
3,1.0016726,1.0015507,1.0023874,1.002063,0.98291194
4,1.0022051,1.0016412,1.0023922,1.0022819,0.9695938
5,1.0092655,1.0100553,1.0125134,1.0108718,0.97730744
6,1.002384,1.0041157,1.0066644,1.0049998,0.9770251
7,1.0026,1.0042615,1.0068004,1.0051478,0.9767958
8,1.0025704,1.0041609,1.0066772,1.0050801,0.9661907
9,1.0064726,1.0051823,1.0069892,1.0068958,0.96612954
10,1.0063031,1.0050764,1.0068809,1.0067853,0.954176
11,1.0079648,1.0033886,1.0044632,1.0053238,0.9479428
12,1.008658,1.0048983,1.0054781,1.0066099,0.949547
13,1.0091722,1.0045646,1.0053097,1.0063547,0.94839996
14,1.0089642,1.0045774,1.0052384,1.0061399,0.9489544
15,1.009041,1.0046996,1.0053514,1.0062805,0.9542554
16,1.009519,1.0057889,1.006266,1.0074079,0.9606256
17,1.0087736,1.0061711,1.0063642,1.0079479,0.9672503
18,1.0108023,1.0088565,1.0091683,1.0109764,0.96617585
19,1.0102535,1.0082039,1.0084705,1.0102885,0.9567525
20,1.0072697,1.0037168,1.0034643,1.0054153,0.96061754
21,1.0081215,1.0056957,1.0057192,1.0075679,0.96429604
22,1.0088655,1.0077908,1.0080563,1.0097306,0.94997287
23,1.0003461,0.9974435,0.99715656,0.99922365,0.95216763
24,1.0010438,0.99908024,0.9988556,1.0007468,0.9602659
25,1.008865,1.0060302,1.0059284,1.0072904,0.9715708
26,1.0185686,1.0158006,1.0158504,1.0169506,0.9760069
27,1.0217152,1.0187409,1.0188518,1.0199485,0.9768106
28,1.0220375,1.0191152,1.0192127,1.0203319,0.98113465
29,1.0255772,1.0224771,1.0226457,1.0238323,0.989459
30,1.0314703,1.028583,1.0288892,1.0294284,0.9926011
31,1.0327684,1.0308411,1.0311927,1.0315484,0.990558
32,1.031092,1.0290195,1.029345,1.0297343,0.9937383
33,1.0336207,1.0316324,1.0320262,1.0322973,1.002528
34,1.0404397,1.0383264,1.0389646,1.0387051,1.0015577
35,1.0397156,1.0374773,1.0380766,1.0379153,1.0049292
36,1.0420192,1.0397787,1.0403199,1.0401607,0.99998486
37,1.038861,1.0364463,1.0370641,1.0369195,1.0016484
38,1.0402386,1.0378404,1.0384902,1.0382867,0.9965752
39,1.0360616,1.0337528,1.0342885,1.0343144,0.9813575
40,1.0256718,1.0233511,1.0234885,1.0244868,0.98146623
41,1.0256938,1.0233811,1.0235224,1.0245107,0.9760217
42,1.0239314,1.0216665,1.0213584,1.0230293,0.96568894
43,1.0266448,1.021296,1.0196491,1.0227232,0.9573976
44,1.0315174,1.0240418,1.0214492,1.0252753,0.9718381
45,1.0190756,1.0108887,1.0076253,1.0120916,0.9689419
46,1.0201622,1.0114264,1.0082942,1.0122951,0.97246534
47,1.019237,1.0110139,1.0079105,1.01224,0.97487795
48,1.0188733,1.0114326,1.0085031,1.012667,0.97685856
49,1.0193611,1.0124923,1.0096024,1.013631,0.97466844
50,1.0171022,1.0109524,1.0080138,1.0122327,0.97640306
51,1.0167392,1.0114182,1.0085365,1.0125558,0.97337306
52,1.0151665,1.0102192,1.0072527,1.0113872,0.9724885
53,1.0151075,1.009932,1.0069234,1.0110981,0.9708529
54,1.0148892,1.0096656,1.0066226,1.0107243,0.96939737
55,1.0145433,1.0092332,1.0062566,1.0101422,0.97414374
56,1.0122339,1.0083798,1.005092,1.0099232,0.97556955
57,1.0112865,1.0078782,1.0045152,1.0095509,0.9831034
58,1.0063142,1.0036019,0.9999988,1.0053158,0.98349446
59,1.0060536,1.0034512,0.99986106,1.0051365,0.99004805
60,1.001687,1.001418,0.99792206,1.002395,0.9825356
61,1.004213,1.0032629,0.999305,1.0043465,0.9829285
62,1.0039873,1.0030941,0.9992055,1.0041732,0.98383933
63,1.0035726,1.0027665,0.9988108,1.0038209,0.9827039
64,1.004419,1.0033927,0.9995242,1.0044872,0.98397654
65,1.0033817,1.0027364,0.99876225,1.0037569,0.9880545
66,1.003262,1.0025038,0.9985896,1.0035907,0.9874553
67,1.0028279,1.0023081,0.99841464,1.0034083,0.9891603
68,1.002373,1.0021176,0.9981304,1.0032845,0.9883795
69,1.0026292,1.0022463,0.9983499,1.0034024,0.9870526
70,1.0029798,1.002533,0.99870265,1.0036448,0.9978393
71,0.9991927,0.9994708,0.9939598,1.0003084,0.998653
72,0.999333,0.99950796,0.9937211,1.0002067,1.0048616
73,1.0011642,1.0009122,0.99405223,1.0012072,1.0101576
74,1.0039114,1.0035107,0.99653757,1.0038586,1.0288165
75,1.0182141,1.0158713,1.0103159,1.0168363,1.034936
76,1.0241709,1.021828,1.0162061,1.0227896,1.0215449
77,1.0108677,1.0084995,1.0030718,1.0094295,1.0120621
78,1.0068941,1.0039433,0.99818105,1.0053959,1.0152754
79,1.0074341,1.0039475,0.998333,1.0051634,1.0138346
80,1.0070829,1.0037766,0.9981673,1.005123,1.0011681
81,1.0049443,0.9998382,0.99376506,1.0015808,1.0032079
82,1.0036209,0.9987692,0.9925983,1.0004858,1.0196438
83,0.99752706,0.9949704,0.98788506,0.9966334,1.0184026
84,0.99687475,0.994279,0.9871622,0.9960006,1.0235121
85,0.99764526,0.9939724,0.9868858,0.99642706,1.0260108
86,0.99741966,0.9936263,0.9864352,0.9959628,1.0135803
87,0.9970983,0.992275,0.9849184,0.994282,0.9982388
88,0.9921756,0.98857933,0.98120743,0.99242824,0.9722639
89,1.0010667,0.99670696,0.99103904,1.0005095,0.97965926
90,1.0015123,0.9970208,0.9910597,1.0024077,0.9737757
91,0.9992584,0.9948497,0.9891473,1.0001755,0.99093425
92,0.99049133,0.98672086,0.9806733,0.99176437,0.9922167
93,0.991047,0.9872275,0.9811894,0.992319,0.98868656
94,0.9900996,0.9861574,0.98013246,0.99128044,0.9989517
95,0.9941991,0.9901644,0.9839494,0.9953938,1.0050498
96,0.9977628,0.9935268,0.9871668,0.9987085,1.0189836
97,1.0039524,0.9994809,0.99267966,1.0047936,1.0214128
98,1.0041759,1.00035,0.99374944,1.0055583,1.0273608
99,1.005551,1.0024087,0.995602,1.0069027,1.0258143
100,1.0051173,1.0019708,0.99517876,1.0066535,1.0272089
101,1.0052919,1.0022703,0.99548125,1.0067279,1.0227448
102,1.0017701,0.9989693,0.9925673,1.0036645,1.0343581
103,1.0096296,1.0057971,0.99863255,1.0103004,1.036002
104,1.0101578,1.0064,0.99931145,1.0109918,1.0362529
105,1.0102267,1.0064737,0.99938923,1.0110937,1.0322566
106,1.0082788,1.0044128,0.9973832,1.0089918,1.0383768
107,1.0068002,1.0025597,0.9954898,1.0080569,1.044105
108,1.0092283,1.0054014,0.9980023,1.0108234,1.0283756
109,0.9988444,0.9952439,0.98734045,1.000244,1.0293312
110,0.9985571,0.9950207,0.9871077,1.0000404,1.0238242
111,1.0010195,0.99699634,0.9890932,1.0014364,1.0135161
112,1.0058801,0.9986304,0.99022347,1.0013969,1.0256791
113,1.0097765,1.0048265,0.9966041,1.0061386,1.0233521
114,1.0090988,1.0042708,0.9960406,1.0055304,1.026486
115,1.0099373,1.0051831,0.99702597,1.0065209,1.032391
116,1.0108215,1.0071989,0.9988681,1.0079274,1.0398521
117,1.012277,1.0102283,1.0016217,1.0099695,1.0455872
118,1.0146501,1.0133731,1.00468,1.0124121,1.0451878
119,1.0142316,1.0129942,1.0042955,1.0120786,1.0425984
120,1.0140518,1.0124583,1.0038694,1.0115458,1.0557138
121,1.0152135,1.0140897,1.004986,1.0131848,1.0566726
122,1.0157745,1.0142798,1.0051148,1.0133791,1.0582123
123,1.0166115,1.0151812,1.0060027,1.0142795,1.0603117
124,1.0173312,1.0159814,1.006732,1.0150917,1.0529394
125,1.0123278,1.0114958,1.0023686,1.0105598,1.05948
126,1.0109595,1.0094752,1.0001998,1.0085124,1.0629438
127,1.0128908,1.0108323,1.0016307,1.0096321,1.0633746
128,1.0127221,1.0107584,1.001543,1.0095447,1.0590242
129,1.0138086,1.0111144,1.0020317,1.0100322,1.0600177
130,1.0130771,1.0109457,1.0018657,1.0098661,1.0553721
131,1.0134056,1.0107867,1.0015446,1.0095439,1.0639424
132,1.0072285,1.007649,0.9981436,1.0061597,1.0539314
133,1.005628,1.0061424,0.9973573,1.0050554,1.0570999
134,1.0051057,1.0057148,0.99709624,1.0047177,1.0679429
135,1.0030041,1.0043746,0.99553114,1.0032352,1.066489
136,1.0029708,1.0043515,0.9956396,1.0032618,1.076782
137,1.0046273,1.0058866,0.99671197,1.0047231,1.0818403
138,1.0051932,1.0069964,0.9977281,1.0056221,1.0736811
139,1.0029552,1.0044075,0.9953926,1.0032456,1.0821538
140,1.0067186,1.0074189,0.99890435,1.0062294,1.0862072
141,1.0086266,1.0090909,1.0005962,1.0077068,1.087133
142,1.0090097,1.0094225,1.0008388,1.0079931,1.0784837
143,1.005647,1.0065212,0.9986427,1.0055387,1.0783151
144,1.005513,1.0064079,0.99852335,1.0054374,1.068017
145,1.0015647,1.0027173,0.99501705,1.0022699,1.0644852
146,1.0028021,1.003714,0.99607223,1.003531,1.0579548
147,1.0058256,1.0058606,0.99776953,1.006012,1.0648171
148,1.0026551,1.0038277,0.9964981,1.0038569,1.0609355
149,1.0032585,1.0041403,0.99649704,1.0040277,1.0586365
150,1.0034647,1.0045093,0.99668306,1.0043268,1.0491389
151,1.0005625,1.0049629,0.99637544,1.0041919,1.0563921
152,1.0009265,1.0037028,0.9956009,1.0029806,1.0499212
153,0.9986636,1.0030367,0.99438304,1.0022898,1.0606548
154,1.0011033,1.0019081,0.99416655,1.0011455,1.0985385
155,1.0158211,1.0066081,1.0029557,1.006855,1.0985237
156,1.0157664,1.0065883,1.00293,1.0068175,1.1050463
157,1.0208321,1.0119984,1.0081961,1.0120778,1.1126866
158,1.0274754,1.0182848,1.0142535,1.0181589,1.1030867
159,1.0190291,1.0100658,1.0062876,1.0101231,1.1042726
160,1.0199168,1.010986,1.0071466,1.0110042,1.0990642
161,1.0154492,1.0072129,1.0037359,1.0074306,1.0913805
162,1.0092212,1.001662,0.9986796,1.0020216,1.0899891
163,1.0080513,1.0006568,0.9977447,1.0010109,1.086958
164,1.0055805,0.9986112,0.9959132,0.9990067,1.090463
165,1.0082254,1.0008218,0.99782425,1.0011146,1.102066
166,1.0122929,1.004683,0.99949765,1.0031605,1.1127716
167,1.0174441,1.0091736,1.0031192,1.0068588,1.1238263
168,1.0251454,1.0171505,1.010785,1.014337,1.1269348
169,1.0277112,1.0196408,1.0131737,1.0167333,1.1234617
170,1.0253165,1.0169499,1.0106666,1.0141958,1.1281993
171,1.0293276,1.0202761,1.0136665,1.0172305,1.1249676
172,1.0264535,1.0176542,1.0110966,1.0146542,1.1230465
173,1.0254295,1.0162598,1.009832,1.013376,1.1307966
174,1.0321102,1.0224117,1.0157356,1.0193207,1.1245583
175,1.0281302,1.0175917,1.0112218,1.0148995,1.1214637
176,1.0256655,1.0155131,1.0094955,1.0124726,1.1154197
177,1.0245081,1.0140989,1.0085604,1.0108238,1.1115487
178,1.0254186,1.0150087,1.0096371,1.0115999,1.1090549
179,1.0261589,1.0157588,1.0105118,1.0123192,1.1031655
180,1.0287954,1.0181619,1.0128484,1.01479,1.1010036
181,1.0296906,1.0188645,1.0137591,1.0156007,1.0982257
182,1.0309078,1.0195395,1.0146747,1.0164224,1.0915039
183,1.0320841,1.0193776,1.0152674,1.0166422,1.0632923
184,1.0390474,1.0241807,1.0197753,1.0208029,1.0636784
185,1.0387502,1.0239834,1.0196115,1.02064,1.0761892
186,1.0300283,1.0182394,1.0150796,1.0160966,1.0778644
187,1.0292586,1.0176536,1.0146495,1.0155429,1.0876637
188,1.0317969,1.0162224,1.013875,1.014694,1.0883864
189,1.0317522,1.0161532,1.0138429,1.01465,1.0800062
190,1.0306591,1.0123162,1.0099515,1.0106059,1.0694937
